query_id,MAP,retrieved_docs
1,1.0,cts_for_0002013 cts_for_0000202 cts_for_0001093 cdn_soc_0003955 cte_foc_0002798 cts_for_0000180 cts_for_0000288 cts_for_0002010 cts_soc_0004817 cdn_soc_0004946 cts_for_0000925 cts_for_0000082 cdn_loc_0001911 cts_soc_0003259 cdn_soc_0002307 cdn_soc_0004947 cts_soc_0003580 cts_foc_0005167 cdn_foc_0005329 ctc_foc_0003491 cdn_soc_0000014 cdn_foc_0005330 cdn_foc_0005332 cdn_eco_0001075 cdn_foc_0005331 cte_foc_0003506 ctc_dep_0000058 cts_soc_0003601 cts_esy_0000174 cdn_eco_0003786 cts_soc_0005710 cdn_loc_0001006 cdn_loc_0000998 cte_foc_0001355 cdn_foc_0005157 cdn_soc_0000013 cdn_eco_0003488 cdn_foc_0008167 cdn_soc_0004137 cdn_edu_0000143 cts_eco_0000757 cts_soc_0005709 cdn_soc_0004797 cts_soc_0004839 cdn_soc_0003178 cdn_loc_0001964 cdn_soc_0004796 cdn_loc_0002169 cts_for_0000019 cdn_soc_0003177 
2,1.0,cdn_edu_0000978 cts_soc_0005003 cdn_edu_0001154 cdn_edu_0001302 cdn_edu_0001271 cts_soc_0004922 cts_soc_0004597 cdn_edu_0001267 cdn_edu_0001104 cdn_edu_0000919 cdn_edu_0000415 cte_foc_0002373 cdn_edu_0001372 cdn_edu_0001109 cts_soc_0005792 cts_soc_0005359 cdn_edu_0000554 cdn_edu_0000918 cdn_foc_0006366 cdn_edu_0000811 cts_soc_0005356 cdn_soc_0000898 cdn_ent_0000228 cdn_soc_0000682 cdn_soc_0000396 cdn_foc_0001915 cdn_soc_0001005 cdn_soc_0000105 cts_soc_0006272 cdn_edu_0001281 cte_foc_0000058 cts_soc_0000069 cdn_edu_0000893 cts_esy_0000417 cts_soc_0004008 cdn_foc_0004511 cte_foc_0003117 cts_soc_0006212 cdn_edu_0000492 cdn_edu_0000502 cdn_foc_0008075 cdn_soc_0001064 cts_for_0000019 cts_foc_0004978 cts_for_0000507 cdn_eco_0001075 cts_for_0000530 cts_foc_0005168 cdn_edu_0001226 cts_soc_0003313 
3,1.0,cts_soc_0000286 cts_soc_0000287 cts_soc_0000274 cts_soc_0000597 cdn_foc_0008638 cts_soc_0000269 cdn_foc_0000009 cdn_foc_0008636 cdn_foc_0008635 cdn_soc_0004228 cts_soc_0000417 cts_soc_0000418 cdn_soc_0000013 cdn_foc_0008637 cdn_for_0000641 cdn_soc_0000015 cdn_soc_0000014 cdn_foc_0005330 cdn_foc_0005329 cdn_foc_0005332 cts_foc_0005167 cdn_for_0000019 cts_eco_0002918 cts_foc_0005168 cdn_foc_0005331 ctc_dep_0000058 cdn_eco_0003786 cte_foc_0003232 cdn_soc_0002307 cdn_eco_0003609 cts_eco_0000130 cdn_loc_0001911 cte_foc_0001823 cdn_eco_0000118 ctc_fin_0001112 cts_for_0000925 cdn_eco_0003729 cts_for_0000971 cdn_for_0000276 ctc_chi_0001695 cdn_foc_0006366 cdn_soc_0004797 ctc_foc_0002477 cts_soc_0005359 ctc_tec_0000623 cts_for_0000530 cts_esy_0000557 cts_soc_0002250 cte_foc_0003116 cdn_soc_0003178 
4,1.0,ctc_chi_0001731 cts_chi_0002306 ctc_chi_0001730 cdn_chi_0001993 cts_chi_0002329 cts_chi_0002315 cts_chi_0002234 ctc_chi_0001695 ctc_chi_0001199 cdn_eco_0001075 ctc_dep_0001427 cdn_foc_0005329 cts_eco_0002918 cdn_eco_0001770 cdn_foc_0005331 cdn_eco_0003786 cts_foc_0005167 cte_foc_0003232 cdn_foc_0008167 cdn_eco_0003488 cts_eco_0002609 cdn_foc_0005157 cdn_for_0000019 cdn_eco_0000118 cts_for_0001047 cts_soc_0003580 cts_for_0000082 cts_for_0001686 ctc_foc_0003491 cte_foc_0001355 cts_eco_0004330 cdn_edu_0001006 cdn_foc_0008536 cdn_foc_0008637 cdn_foc_0006366 cdn_soc_0004669 cts_esy_0000174 ctc_foc_0001001 cte_foc_0001823 cts_soc_0003259 cts_for_0000507 cts_foc_0004458 cdn_edu_0000918 ctc_foc_0003504 cts_soc_0000046 cdn_eco_0000785 cts_soc_0000274 cts_for_0000530 cdn_foc_0008636 cts_for_0000971 
5,1.0,cdn_loc_0002169 cdn_soc_0003178 cdn_soc_0004797 cdn_soc_0004137 cts_soc_0005709 cdn_loc_0001006 cdn_loc_0000998 cts_soc_0004839 cts_soc_0005710 cdn_soc_0003177 cdn_soc_0004796 cdn_loc_0001127 cdn_loc_0001964 cts_soc_0003601 cts_soc_0003580 cdn_soc_0004947 cdn_foc_0005330 cdn_eco_0001421 cte_foc_0003506 cts_for_0001093 cdn_foc_0005331 cdn_for_0000550 cdn_for_0000019 cdn_foc_0005329 cdn_eco_0001770 cts_soc_0000418 cdn_eco_0003786 cdn_foc_0005332 cdn_foc_0008636 cdn_foc_0008638 cts_soc_0000269 cts_soc_0000286 cdn_foc_0008635 cdn_foc_0008637 cts_soc_0000287 cts_soc_0000597 cdn_soc_0000015 cts_soc_0000417 cdn_soc_0000014 cdn_soc_0000013 cdn_soc_0004228 cts_soc_0000274 cts_eco_0002918 cdn_foc_0000009 cdn_eco_0001075 cte_foc_0003116 cdn_for_0000641 ctc_esy_0000050 cdn_edu_0000771 cts_eco_0000130 
6,0.9296788482834994,cdn_foc_0004860 cts_eco_0003933 cts_eco_0003686 ctc_fin_0002583 cts_eco_0003810 ctc_dep_0001299 cte_foc_0003316 cdn_eco_0004043 cdn_foc_0008213 cdn_eco_0003720 ctc_foc_0003504 cdn_eco_0000785 cts_eco_0003578 cdn_eco_0003793 cdn_eco_0001695 ctc_foc_0003285 ctc_fin_0002601 ctc_foc_0003172 cts_foc_0004652 cdn_eco_0003728 cdn_eco_0003729 ctc_fin_0002731 cdn_for_0000276 cdn_eco_0003725 ctc_fin_0001112 cdn_foc_0008167 cdn_eco_0003578 cdn_eco_0003488 ctc_esy_0000050 ctc_foc_0003007 cdn_eco_0003475 cts_eco_0001280 cdn_eco_0003609 cts_eco_0003859 cte_foc_0003232 cdn_eco_0003786 ctc_dep_0000058 cdn_eco_0001770 cdn_for_0000550 ctc_dep_0001427 cdn_foc_0005329 cts_eco_0002918 cdn_eco_0001075 cdn_foc_0005332 cdn_foc_0005330 cdn_for_0000019 cts_eco_0000757 cdn_foc_0005157 cts_soc_0003313 cts_for_0001047 
7,1.0,ctc_ser_0000943 cts_soc_0002782 ctc_tec_0001177 cts_soc_0003777 cts_pol_0001061 cts_for_0000684 cts_soc_0002935 cts_soc_0002760 cts_soc_0003237 cts_soc_0003024 cts_soc_0005565 cts_pol_0001380 cdn_soc_0004669 cts_for_0000971 cts_soc_0002419 cts_soc_0002357 cdn_soc_0002354 cts_soc_0002250 ctc_dep_0000407 cts_soc_0002249 cts_soc_0002759 ctc_tec_0000623 ctc_tec_0000871 ctc_foc_0001001 ctc_tec_0000655 ctc_dep_0000404 cts_for_0000970 cts_soc_0002098 cts_esy_0000174 cdn_soc_0002136 cts_for_0001047 cte_foc_0001823 cts_for_0001686 cte_foc_0001355 cdn_foc_0005331 cdn_foc_0005330 ctc_dep_0001427 ctc_foc_0003491 cdn_foc_0005329 cte_foc_0003232 cts_eco_0003859 cts_soc_0003259 cdn_eco_0001647 cts_eco_0000757 cdn_for_0000550 cte_foc_0003506 cdn_eco_0003609 cdn_soc_0000396 cts_for_0000530 ctc_foc_0002477 
8,0.9816964285714286,cdn_foc_0001801 cts_soc_0000236 cts_eco_0004366 cdn_eco_0003365 cdn_eco_0002259 ctc_dep_0000877 cts_soc_0000102 cts_eco_0000557 cts_foc_0004593 cts_soc_0000103 cts_eco_0004330 cte_esy_0000216 cte_foc_0003271 cdn_soc_0003588 cts_esy_0000557 cts_soc_0000046 cts_eco_0003468 cdn_foc_0007144 cts_eco_0002609 ctc_foc_0002477 cdn_eco_0000118 cdn_foc_0005157 cts_eco_0000757 cts_eco_0000130 cdn_foc_0005330 cdn_foc_0005332 cdn_foc_0005329 cdn_eco_0001075 cdn_foc_0005331 cte_foc_0003506 cts_foc_0005167 cdn_for_0000019 cdn_eco_0001770 cts_eco_0003859 cts_foc_0004978 ctc_dep_0000058 ctc_dep_0001427 cte_foc_0003232 ctc_chi_0001695 ctc_fin_0002601 cts_soc_0005359 cts_soc_0000418 cdn_for_0000641 cts_for_0002010 cdn_eco_0003728 cdn_soc_0003955 cdn_eco_0000785 ctc_tec_0000623 cdn_eco_0004043 cdn_eco_0001695 
9,0.6791666666666666,cdn_foc_0005332 cdn_foc_0005331 cte_foc_0003506 cdn_foc_0005330 cdn_soc_0000238 cts_foc_0005167 cdn_foc_0008536 cdn_foc_0008072 cdn_foc_0004511 cts_foc_0005168 cts_eco_0000130 cdn_edu_0000771 cdn_eco_0000118 cdn_soc_0003588 cts_eco_0002609 cts_soc_0000103 cte_foc_0003271 cts_foc_0004593 cts_eco_0000557 cdn_eco_0003365 cts_esy_0000557 cdn_foc_0007144 cts_soc_0000236 cdn_foc_0001801 cdn_eco_0002259 cts_eco_0004366 cts_eco_0004330 cte_esy_0000216 cts_soc_0000102 ctc_dep_0000877 cts_soc_0000046 cts_eco_0002918 ctc_foc_0002477 cts_eco_0003468 cdn_foc_0005157 cdn_eco_0001075 cdn_foc_0008635 cdn_soc_0000014 cts_eco_0000757 cts_soc_0000269 cts_soc_0000287 cdn_foc_0008638 cts_soc_0000286 cts_soc_0000274 cdn_foc_0008636 cdn_soc_0000013 cdn_foc_0000009 cts_soc_0000418 cte_foc_0003116 cts_soc_0000597 
10,1.0,cdn_edu_0001281 cte_foc_0003117 cdn_edu_0001168 cdn_edu_0001006 cdn_foc_0008075 cdn_soc_0001064 cdn_edu_0001007 cdn_soc_0000105 cts_soc_0004008 cdn_edu_0000550 cdn_edu_0000893 cdn_ent_0000228 cdn_edu_0000492 cdn_edu_0000502 cte_foc_0000630 cts_soc_0001128 cts_esy_0000417 cdn_edu_0000576 cdn_soc_0001043 cts_foc_0004458 cte_foc_0000058 cte_foc_0003116 cdn_edu_0000143 cdn_soc_0001005 cdn_soc_0000682 cdn_edu_0000771 cts_soc_0003313 cdn_foc_0001915 cts_soc_0006212 cdn_foc_0004511 cdn_soc_0000396 cts_soc_0006272 cdn_foc_0008072 cdn_edu_0001226 cdn_soc_0000238 cdn_soc_0000898 cdn_foc_0008536 cts_for_0000207 cts_for_0000530 cts_for_0000019 cts_for_0000507 cts_soc_0000069 cdn_edu_0000811 cts_foc_0004978 cdn_edu_0001372 cdn_edu_0000919 cdn_edu_0000978 cdn_edu_0001154 cts_soc_0004597 cts_soc_0005003 
